eventID,entryDate,entryTimeStamp,eventData,eventTime,eventTitle,eventDescription,eventType,concenLevel,expecCompTime,expecCompPomo,actualCompTime,actualCompPomo
YR97ye57ITno24OK,01-Apr-24,1711105261,02-Apr-24,,weekly-plan,Birthday Review Review Presentation Celebration,UNI,medium,1,,,
HV54sg24XNxy07FW,22-Mar-24,1711105272,25-Mar-24,,go-for-walk,Reminder Deadline Reminder Deadline Assessment,UI,high,2.45,,,
JC78ih55PWgo01LN,24-Mar-24,1711105283,26-Mar-24,,build-model,Travel Reminder Discussion Break Dinner,UI,medium,3.45,,,
OD57oj23KJsx30LR,29-Mar-24,1711105297,02-Apr-24,,weekly-plan,Break Holiday Appointment Networking Project,UI,high,2,,,
RH06fo08ZZtt01GR,02-Apr-24,1711105309,03-Apr-24,,clean-data,Seminar Event Planning Project Conference,UNI,low,4.15,,,
NO90jy92QQni22OV,30-Mar-24,1711105320,02-Apr-24,,go-for-walk,Lunch Interview Ceremony Meeting Lunch,NUNI,medium,3,,,
XS07iv72DQib40TU,28-Mar-24,1711105337,29-Mar-24,,coding,Check-up Report Check-up Appointment Trip,NUI,high,4.45,,,
TL21od70BVaf57RB,29-Mar-24,1711105354,31-Mar-24,18:30:00,reporting,Holiday Workshop Anniversary Audit Consultation,NUNI,low,1,,,
PM44bs34XGck93ZP,23-Mar-24,1711105368,27-Mar-24,22:05:00,coding,Meeting Trip Reminder Audit Meeting,UNI,low,2,,,
EN09of68VLwp00UQ,27-Mar-24,1711105382,28-Mar-24,15:50:00,get-groceries,Reception Consultation Feedback Lecture Workshop,UNI,medium,4.3,,,
EJ64ay83MCnj23QM,25-Mar-24,1711105399,27-Mar-24,,water-plant,Celebration Lunch Discussion Conference Evaluation,UI,high,3.3,,,
AH40ml59OFky36DD,21-Mar-24,1711105415,23-Mar-24,,prepare-github,Outing Consultation Call Assessment Networking,UNI,low,3.45,,,
CY28ao49EQuo81GX,30-Mar-24,1711105431,03-Apr-24,,send-email,Task Lunch Discussion Discussion Party,UNI,medium,4.3,,,
QS16ln16EMxy74IU,26-Mar-24,1711105442,30-Mar-24,,weekly-plan,Seminar Audit Ceremony Report Training,NUI,medium,4.15,,,
PD23vw89DIga68KE,30-Mar-24,1711105454,03-Apr-24,,train-model,Discussion Vacation Vacation Task Call,NUNI,low,4.3,,,
IH77zg16FNxr23CG,22-Mar-24,1711105472,25-Mar-24,,get-groceries,Gathering Call Lecture Reminder Outing,NUI,high,1.15,,,
RT99sk42GUfz49HC,26-Mar-24,1711105485,28-Mar-24,,water-plant,Evaluation Holiday Vacation Gathering Planning,UNI,high,3.15,,,
WP91ds85JWsn00EE,23-Mar-24,1711105499,25-Mar-24,,prepare-github,Holiday Lunch Planning Call Trip,NUI,low,2.45,,,
PS22tj44YFpj59AM,23-Mar-24,1711105509,25-Mar-24,,clean-data,Celebration Lecture Seminar Training Reminder,NUI,low,4.15,,,
LR63rq76SHhh49JY,31-Mar-24,1711105520,04-Apr-24,13:35:00,share-data,Discussion Lecture Break Outing Networking,NUNI,low,2.3,,,
MT24mc58AGyc52LQ,30-Mar-24,1711105535,03-Apr-24,,coding,Lunch Reminder Training Networking Check-up,UNI,medium,1.45,,,
KN67dw99GLfs57ZY,20-Mar-24,1711105553,23-Mar-24,,clean-data,Lunch Appointment Party Anniversary Call,UI,low,1.15,,,
WO17jt09HTjb25FR,22-Mar-24,1711105564,24-Mar-24,,prepare-github,Test Test Analysis Reception Party,UNI,high,1.15,,,
